{'question': '2+3*16', 'answer': 50}
{'question': '2+3*18', 'answer': 56}
{'question': '2+3*100', 'answer': 302}
{'question': '2+3*100', 'answer': 302}
{'question': '2+3*100', 'answer': 302}
{'question': '2+3*100', 'answer': 302}
{'question': '2+3*100', 'answer': 302}
{'question': '2+3*100', 'answer': 302}
{'question': '2+3*100', 'answer': 302}
{'question': '2+3*100', 'answer': 302}
{'question': '2+3*100', 'answer': 302}
{'question': '2+3*100', 'answer': 302}
{'question': '2+3*100', 'answer': 302}
{'question': '2+3*100', 'answer': 302}
{'question': '2+3*100', 'answer': 302}
{'question': '2+3*100', 'answer': 302}
{'question': '2+3*100', 'answer': 302}
{'question': '2+3*100', 'answer': 302}
{'question': '2+3*100', 'answer': 302}
{'question': '2+3*100', 'answer': 302}
